issue,issueType,Note
COORDINATE_INVALID;COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID,professional,
GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;MODIFIED_DATE_INVALID;IDENTIFIED_DATE_INVALID,professional,
OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES,professional,
COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,professional,
RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,professional,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;DIFFERENT_OWNER_INSTITUTION,professional,
OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,non-professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES,professional,
TAXON_MATCH_HIGHERRANK;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,professional,
CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE,professional,
COUNTRY_DERIVED_FROM_COORDINATES;INDIVIDUAL_COUNT_INVALID,professional,
GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;REFERENCES_URI_INVALID,professional,
OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY,professional,
TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED,professional,
CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE,professional,
TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,professional,
CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE,professional,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84,professional,
COLLECTION_MATCH_NONE,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_COORDINATE_MISMATCH,professional,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID,professional,
COORDINATE_INVALID;MODIFIED_DATE_INVALID;IDENTIFIED_DATE_INVALID;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED,professional,
COORDINATE_ROUNDED;COUNTRY_COORDINATE_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,professional,
GEODETIC_DATUM_ASSUMED_WGS84;MODIFIED_DATE_INVALID;IDENTIFIED_DATE_INVALID,professional,
COORDINATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,professional,
COORDINATE_ROUNDED;FOOTPRINT_SRS_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,professional,
COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH,professional,
TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH;MODIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,professional,
COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,professional,
CONTINENT_COORDINATE_MISMATCH;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;PRESUMED_NEGATED_LONGITUDE,professional,
CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_MISMATCH,professional,
COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,professional,
COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,mixed,
COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,professional,
GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID,mixed,
COORDINATE_ROUNDED;FOOTPRINT_SRS_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,professional,
INSTITUTION_MATCH_NONE,professional,
COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,professional,
COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;MODIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE,professional,
COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,mixed,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK,professional,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,professional,
COORDINATE_ROUNDED;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,professional,
CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE,professional,
GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;MODIFIED_DATE_INVALID,professional,
TAXON_MATCH_FUZZY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,professional,
COORDINATE_ROUNDED;RECORDED_DATE_INVALID,professional,
CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE,professional,
COORDINATE_ROUNDED;FOOTPRINT_SRS_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,professional,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES,professional,
GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LONGITUDE,professional,
TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE,professional,
GEODETIC_DATUM_ASSUMED_WGS84;MODIFIED_DATE_INVALID,professional,
COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_ID_IGNORED,professional,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE,professional,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_UNLIKELY,professional,
RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE,professional,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,professional,
COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,professional,
COORDINATE_REPROJECTED,professional,
TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,professional,
INSTITUTION_COLLECTION_MISMATCH,,
CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,
COUNTRY_INVALID,,
COORDINATE_REPROJECTED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,
COORDINATE_INVALID;MODIFIED_DATE_INVALID;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE,,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,
CONTINENT_DERIVED_FROM_COORDINATES;MODIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE,,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES,,
INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,
NULL,,
GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES,,
COORDINATE_ROUNDED;COUNTRY_COORDINATE_MISMATCH;CONTINENT_COORDINATE_MISMATCH,,
RECORDED_DATE_MISMATCH;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE,,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,
COORDINATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_COORDINATE_MISMATCH,,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,
COUNTRY_COORDINATE_MISMATCH;CONTINENT_COORDINATE_MISMATCH,,
COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LONGITUDE;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;MODIFIED_DATE_INVALID,,
COORDINATE_INVALID,,
RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;MODIFIED_DATE_INVALID;IDENTIFIED_DATE_INVALID,,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_MISMATCH;COLLECTION_MATCH_NONE;DIFFERENT_OWNER_INSTITUTION,,
TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,
GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID,,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES,,
CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED,,
COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_ID_IGNORED,,
COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES,,
RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED,,
TAXON_MATCH_HIGHERRANK;MODIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,
GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,
COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;TAXON_MATCH_TAXON_ID_IGNORED,,
CONTINENT_DERIVED_FROM_COORDINATES,,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH,,
COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,,
INSTITUTION_MATCH_FUZZY,,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,
GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_COORDINATE_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID,,
COORDINATE_ROUNDED;TAXON_MATCH_TAXON_ID_IGNORED,,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;INDIVIDUAL_COUNT_INVALID,,
COUNTRY_DERIVED_FROM_COORDINATES,,
TAXON_MATCH_FUZZY,,
MODIFIED_DATE_INVALID;MULTIMEDIA_DATE_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;TAXON_MATCH_FUZZY,,
TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE,,
MODIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,
RECORDED_DATE_MISMATCH,,
INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,
COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,
GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,
GEODETIC_DATUM_ASSUMED_WGS84,,
OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,,
COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES,,
GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID,,
TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH,,
GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;COUNTRY_DERIVED_FROM_COORDINATES,,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE,,
GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION,,
RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,
COUNTRY_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID,,
GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,,
TAXON_MATCH_FUZZY;INSTITUTION_MATCH_NONE,,
OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,
TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED,,
COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE,,
RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE,,
RECORDED_DATE_INVALID,,
COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_COORDINATE_MISMATCH;TAXON_MATCH_FUZZY,,
COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID,,
COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID,,
COORDINATE_ROUNDED,,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE,,
COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE,,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID,,
